Year_Birth,Education,Marital_Status,Income,Kidhome,Teenhome,Recency,MntWines,MntFruits,MntMeatProducts,MntFishProducts,MntSweetProducts,MntGoldProds,NumDealsPurchases,NumWebPurchases,NumCatalogPurchases,NumStorePurchases,NumWebVisitsMonth,AcceptedCmp3,AcceptedCmp4,AcceptedCmp5,AcceptedCmp1,AcceptedCmp2,Complain,Response,Customer_Tenure,Cluster
1957,2,4,0.2519387668130988,0,0,0.30703926349227456,0.9837812651523129,1.5515769812186038,1.6797023326128684,2.4621470460734924,1.4765001000700189,0.8432069073861739,0.349413940993261,1.409303937080072,2.5108902417547814,-0.5507847897348009,7,0,0,0,0,0,0,1,1.4149209928562407,3
1954,2,4,-0.20869872903895537,1,1,-0.38366417634974903,-0.8704794810063111,-0.6363011552898765,-0.7132254067643876,-0.6504492534945548,-0.6315031783543306,-0.7290057871219767,-0.1682363419597184,-1.1104093734576166,-0.5687196185467573,-1.1661254027053516,5,0,0,0,0,0,0,0,1.005638204096907,1
1965,2,5,0.7782309710361299,0,0,-0.7980862402549632,0.3627227780575174,0.570804023473423,-0.17703233923726175,1.3452742562284872,-0.14690472354413533,-0.03876606758181304,-0.6858866249126978,1.409303937080072,-0.22654074517991973,1.2952370491768512,4,0,0,0,0,0,0,0,-0.8288775582853547,3
1984,2,5,-0.9780422421213499,1,0,-0.7980862402549632,-0.8704794810063111,-0.5608570816171703,-0.6511865394471995,-0.5039741335148821,-0.5830433328733111,-0.7481791126647591,-0.1682363419597184,-0.7504503290950897,-0.9108984919135951,-0.5507847897348009,6,0,0,0,0,0,0,0,0.9766110559579472,0
1981,4,3,0.25799259179674033,1,0,1.550305455207917,-0.38908486421512983,0.4199158761280105,-0.21691446822688268,0.1551639063936456,-0.0015251871010767454,-0.5564458572369358,1.3847145068992197,0.3294268039924911,0.11563812818691793,0.06455582323574982,5,0,0,0,0,0,0,0,-0.8288775582853547,0
1967,3,5,0.4228128590933037,0,1,-1.143437960175975,0.642050518664746,0.3947678515704418,-0.3055414215371514,-0.6870680334894731,0.36192365400656973,-0.5756191827797181,-0.1682363419597184,0.689385848355018,0.4578170015537556,1.2952370491768512,6,0,0,0,0,0,0,0,1.1643199472565542,3
1971,2,2,0.15417925756113238,0,1,-0.5218048643181538,-0.20484741828270248,0.9731724163945228,-0.013072475613264588,0.22840146638348202,0.5315331131901381,-0.3263659507235479,0.8670642239462404,1.049344892717545,0.11563812818691793,0.3722261297210252,6,0,0,0,0,0,0,0,-0.8288775582853547,2
1985,4,3,-0.7121426260656619,1,0,-0.5908752083023561,-0.6773273199481211,-0.4099689342717579,-0.4916580234887158,-0.6321398634970958,-0.6315031783543306,-0.4030592528946772,-0.1682363419597184,-0.03053224037003586,-0.9108984919135951,-0.5507847897348009,8,0,0,0,0,0,0,0,1.181252450337614,0
1974,4,5,-0.8333362965446278,1,0,-1.0398324441996714,-0.8615647658805485,-0.6614491798474453,-0.6334611487851458,-0.6321398634970958,-0.5830433328733111,-0.8056990892931061,-0.6858866249126978,-0.3904912847325628,-0.9108984919135951,-1.1661254027053516,9,0,0,0,0,0,0,1,1.210279598476574,2
1950,4,5,-1.798159771195577,1,1,0.6523909834132863,-0.8199627619603229,-0.6614491798474453,-0.7132254067643876,-0.668758643492014,-0.6315031783543306,-0.5947925083225005,-0.6858866249126978,-1.1104093734576166,-0.9108984919135951,-1.7814660156759023,20,1,0,0,0,0,0,0,-0.8288775582853547,1
1983,2,3,-2.0187923991477774,1,0,-1.3161138201364808,-0.8883089112578363,-0.5357090570596016,-0.7132254067643876,-0.6870680334894731,-0.6072732556138208,-0.8248724148358884,-0.6858866249126978,-1.1104093734576166,-0.9108984919135951,-1.1661254027053516,7,0,0,0,0,0,0,0,-0.8288775582853547,0
1976,1,3,-1.725826326874905,0,0,0.3415744354843757,-0.8853373395492488,-0.25908078692634545,-0.6910686684368205,-0.48566474351742295,-0.6315031783543306,-0.5372725316941535,-0.6858866249126978,-0.7504503290950897,-0.9108984919135951,-0.8584550962200763,8,0,0,0,0,0,0,0,-0.8288775582853547,2
1959,2,2,0.4431224654900366,0,0,1.1358833913027029,-0.3266818583347915,0.8725803181642479,1.3872333866889814,3.4325447159388247,2.0580182458422533,-0.26884597409520095,-0.6858866249126978,-0.3904912847325628,0.4578170015537556,0.6798964362063006,2,0,0,0,0,0,0,0,-0.8288775582853547,3
1952,3,2,0.29943200023315114,1,1,0.13436340353176865,-0.21079056169987753,-0.6111531307323078,-0.5049520664852561,-0.6321398634970958,-0.5345834873922916,-0.5756191827797181,0.349413940993261,0.689385848355018,-0.5687196185467573,-0.24311448324952553,6,0,0,0,0,0,0,0,-0.8288775582853547,1
1987,2,3,-1.3421700506535443,0,0,-0.38366417634974903,-0.8942520546750115,-0.3093768360414829,-0.6644805824437399,-0.5772116935047185,-0.6315031783543306,-0.7481791126647591,-0.6858866249126978,-1.1104093734576166,-0.9108984919135951,-0.8584550962200763,8,0,0,0,0,0,0,0,1.3259044052300972,0
1946,4,4,1.215160907113536,0,0,-0.9016917562312667,2.08623436903829,-0.10819263958093302,-0.230208511223423,0.3931859763606139,0.9919016452598236,0.018753909046533936,-0.6858866249126978,1.049344892717545,1.142174748287431,1.910577662147402,3,0,0,1,1,0,0,1,-0.8288775582853547,1
1980,2,3,-0.38422059662918184,1,1,0.06529305954756628,-0.7456734692456345,-0.5357090570596016,-0.655617887112713,-0.6504492534945548,-0.34074410546821343,-0.7673524382075414,0.349413940993261,-0.3904912847325628,-0.9108984919135951,-0.8584550962200763,8,0,0,0,0,0,0,0,-0.8288775582853547,0
1946,2,5,-0.543963462326562,0,0,-1.0052972722075701,-0.6535547462794208,-0.5357090570596016,-0.5714222814679576,2.059340466129392,-0.3649740282087232,-0.3071926251807656,-0.1682363419597184,-0.03053224037003586,-0.5687196185467573,0.06455582323574982,7,0,0,0,0,0,0,0,-0.8288775582853547,1
1949,3,3,0.9884353972423157,0,1,1.4466999392316133,2.104063799289815,1.350392784758054,1.4669976446682234,-0.6870680334894731,-0.26805433724668415,2.5304595551510185,-0.1682363419597184,2.489181070167653,0.4578170015537556,0.987566742691576,5,0,0,0,1,0,0,0,-0.8288775582853547,1
1985,0,4,-0.6981602432002189,1,0,1.2740240792711075,-0.8912804829664238,-0.23393276236877672,-0.655617887112713,-0.13778633356570003,-0.07421495532260604,-0.09628604421016002,-0.1682363419597184,-0.7504503290950897,-0.5687196185467573,-0.8584550962200763,6,0,0,0,0,0,0,0,1.4289507811234046,0
1982,2,3,-0.5720844557989614,0,0,-0.2800586603734455,-0.6476116028622457,-0.6111531307323078,-0.4163251131749873,0.5762798763352049,0.26500396304453067,0.07627388567488091,-0.6858866249126978,-0.03053224037003586,-0.22654074517991973,-0.24311448324952553,8,0,0,0,0,0,0,0,1.356382910776005,0
1979,2,3,-1.9231810213416194,1,0,-0.24552348838134433,-0.9001951980921865,-0.6363011552898765,6.90426123025321,-0.668758643492014,-0.6315031783543306,-0.8248724148358884,6.561217336429014,-1.4703684178201437,8.67010996235786,-1.7814660156759023,1,0,0,0,0,0,0,0,1.2126985274881539,0
1949,4,3,0.2702564695055367,0,1,0.47971512345278045,1.673185901544622,-0.6614491798474453,-0.35871759352331267,-0.6870680334894731,-0.6557331010948404,-0.4797525550658065,0.349413940993261,-0.7504503290950897,0.11563812818691793,0.987566742691576,8,0,1,0,0,0,0,0,-0.8288775582853547,1
1954,4,3,0.5326019044417964,0,1,-1.696000712049594,0.23791676629684078,-0.6614491798474453,-0.28781603087509766,-0.3025708435428319,0.11962442660147207,-0.7481791126647591,0.349413940993261,0.689385848355018,-0.22654074517991973,0.987566742691576,4,0,0,0,0,0,0,0,0.9620974818884672,1
1951,2,5,-0.42956569860342597,0,1,0.6869261554053875,-0.10084240848213862,-0.5860051061747391,-0.6201671057886055,0.026998176411431898,-0.5103535646517818,1.0541134883567795,2.4200150728051786,1.049344892717545,-0.5687196185467573,-0.24311448324952553,8,0,0,0,0,0,0,0,-0.8288775582853547,1
1969,2,4,-1.2927239704645754,0,0,1.3776295952474111,-0.8853373395492488,-0.5608570816171703,-0.6290298011196324,-0.41242718352758656,-0.3649740282087232,-0.5947925083225005,-0.1682363419597184,-0.7504503290950897,-0.5687196185467573,-0.8584550962200763,7,0,0,0,0,0,0,0,1.2707528237660735,2
1976,2,3,0.06528567264004749,1,1,-1.557860024081189,-0.38908486421512983,-0.5608570816171703,-0.6068730627920651,-0.6321398634970958,-0.5103535646517818,-0.05793939312459537,0.8670642239462404,0.3294268039924911,-0.5687196185467573,-0.5507847897348009,7,0,0,0,0,0,0,0,-0.8288775582853547,2
1986,2,4,-2.0187923991477774,1,0,-1.0398324441996714,-0.8883089112578363,-0.6363011552898765,-0.726519449760928,-0.6321398634970958,5.716736579659227,6.096698106108531,-1.203536907865677,8.248525779968084,-0.9108984919135951,-1.7814660156759023,1,0,0,0,0,0,0,0,-0.8288775582853547,0
1989,2,3,-0.5205293010995624,1,0,-0.7980862402549632,-0.7961901882916226,-0.6111531307323078,-0.5536968908059039,-0.32088023354029105,-0.14690472354413533,-0.6523124849508475,-0.1682363419597184,-0.7504503290950897,-0.5687196185467573,-0.5507847897348009,3,0,0,0,0,0,0,0,-0.8288775582853547,0
1965,4,3,1.2861664156313448,0,0,1.6193757991921194,1.1293882788731024,1.8533532759094284,2.8096959873187943,-0.3025708435428319,0.943441799778804,-0.8440457403786708,-0.6858866249126978,0.689385848355018,2.1687113683879438,1.2952370491768512,2,0,0,1,0,0,0,0,-0.8288775582853547,3
1989,3,2,-1.589947248693686,0,0,-0.5218048643181538,-0.8793941961320737,-0.5608570816171703,-0.6955000161023339,-0.6504492534945548,-0.6072732556138208,-0.7673524382075414,-0.1682363419597184,-0.3904912847325628,-0.9108984919135951,-0.8584550962200763,5,0,0,0,0,0,0,0,-0.8288775582853547,0
1963,3,5,-0.510374497901196,0,0,0.2379689195080722,-0.5703507384389697,-0.23393276236877672,-0.544834195474877,-0.06454877357586361,-0.12267480080362557,0.8623802329289563,-0.6858866249126978,-0.7504503290950897,0.7999958749205932,-0.8584550962200763,3,0,0,0,0,0,0,0,1.1367441565245422,3
1970,2,5,-0.4350727264917708,0,1,-0.6254103802944573,-0.5762938818561448,-0.6614491798474453,-0.7176567544299011,-0.6504492534945548,-0.6557331010948404,-0.7865257637503237,-0.1682363419597184,-0.7504503290950897,-0.5687196185467573,-0.5507847897348009,5,0,1,0,0,0,0,0,1.3259044052300972,2
1952,4,2,-0.1983095842283189,0,2,-1.4197193361127844,-0.6178958857763703,-0.35967288515662044,-0.3144041168681783,-0.08285816357332272,-0.12267480080362557,-0.019592742039030716,1.9023647898521991,-0.03053224037003586,-0.5687196185467573,0.06455582323574982,6,0,0,0,0,0,0,1,-0.8288775582853547,1
1946,3,3,0.6627786700577789,0,0,-1.557860024081189,0.5291307937384195,0.19358365510989187,1.3473512576993605,1.4917493762081602,0.9919016452598236,-0.42223257843745954,-0.6858866249126978,-0.3904912847325628,0.7999958749205932,0.987566742691576,7,0,0,0,0,0,0,0,-0.8288775582853547,1
1951,3,4,-0.08977036081193274,1,1,0.20343374751597101,-0.7843039014572725,-0.6614491798474453,-0.655617887112713,-0.6504492534945548,-0.6315031783543306,-0.7865257637503237,-0.6858866249126978,-0.7504503290950897,-0.9108984919135951,-0.8584550962200763,7,0,0,0,0,0,0,0,-0.8288775582853547,1
1970,4,3,0.6118484263244333,0,1,-0.4181993483418502,1.182876569627678,-0.23393276236877672,-0.07067999526493927,-0.6870680334894731,-0.4618937191707623,-0.1729793463812893,1.3847145068992197,0.3294268039924911,1.142174748287431,1.910577662147402,2,0,0,0,0,0,0,0,-0.8288775582853547,2
1976,0,3,-1.0924009489091078,1,0,0.9286723593500957,-0.8853373395492488,-0.5860051061747391,-0.6777746254402801,-0.41242718352758656,-0.486123641911272,-0.153806020838507,0.349413940993261,-0.3904912847325628,-0.5687196185467573,-1.1661254027053516,7,0,0,0,0,0,0,0,1.2668825373475456,2
